stop_id,stop_name,lat,lon,route
Teman_Bus_Koridor_2_5,H.spbu cilentang,-2.94328693999995,104.7844734600001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_6,H.Grand garden,-2.94719189999995,104.7855403300001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_7,H.Simpang celentang A,-2.949698699999942,104.7854903000001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_8,H. BHL,-2.950334729999952,104.7833798900001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_9,H. kusuma bangsa B,-2.949140389999968,104.77724398,Teman Bus Koridor 2
Teman_Bus_Koridor_2_10,H. tunas bangsa,-2.949453109999979,104.77284574,Teman Bus Koridor 2
Teman_Bus_Koridor_2_11,H. PTC A,-2.951879189999943,104.7612299300001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_12,H. spbu sukamto,-2.952192999999966,104.75875067,Teman Bus Koridor 2
Teman_Bus_Koridor_2_13,H.BLPT A,-2.953506119999929,104.7526711,Teman Bus Koridor 2
Teman_Bus_Koridor_2_14,H. smp 9/10,-2.954187629999979,104.7508899900001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_15,H. rimba kemuning A,-2.957028359999924,104.7434213700001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_16,H. transit gloria polda,-2.962608629999977,104.7408785700001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_17,H. PDAM,-2.962707569999964,104.74066507,Teman Bus Koridor 2
Teman_Bus_Koridor_2_18,H. smkn 2,-2.966208399999971,104.73506632,Teman Bus Koridor 2
Teman_Bus_Koridor_2_19,H. rs siti khodija A,-2.970936649999942,104.73118872,Teman Bus Koridor 2
Teman_Bus_Koridor_2_20,H. BCA,-2.974222669999961,104.72734274,Teman Bus Koridor 2
Teman_Bus_Koridor_2_21,H. perpustakaan daerah A,-2.976122439999926,104.7257942300001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_22,H. Capil,-2.978650949999974,104.7246680900001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_23,H. bengkel pass,-2.983935419999966,104.7244442800001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_24,H. prameswara A,-2.987684319999971,104.7254156600001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_25,H. simpang sma 10 A,-2.99189526999993,104.7266623800001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_26,H. smkn 3,-2.987392229999955,104.7300787600001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_27,H. Unsri A,-2.987073259999932,104.7323203400001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_28,H. padang selasa,-2.988838299999941,104.7338621600001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_29,H. PHB A,-2.987270619999947,104.74230636,Teman Bus Koridor 2
Teman_Bus_Koridor_2_30,H. jasarahaja,-2.986743839999974,104.74409961,Teman Bus Koridor 2
Teman_Bus_Koridor_2_31,H. PDPDE,-2.983273849999932,104.74459132,Teman Bus Koridor 2
Teman_Bus_Koridor_2_32,H. bank mandiri,-2.981669579999959,104.7452239,Teman Bus Koridor 2
Teman_Bus_Koridor_2_33,H. Simpang PI,-2.977004399999957,104.7446109700001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_34,H. PI,-2.978619549999966,104.7464062000001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_35,H. Kantor Pos,-2.98151831999996,104.7454532800001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_36,H. Kantor Camat Bukit Kecil,-2.983657639999953,104.7446750200001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_37,H. Gajah Mada,-2.985556699999949,104.74437707,Teman Bus Koridor 2
